state_code,state,scenario,period,tasmax_c
NGA.18265698,Abia,SSP1-1.9,2020-07,31.57
NGA.18265698,Abia,SSP2-4.5,2020-07,31.62
NGA.18265698,Abia,SSP3-7.0,2020-07,31.6
NGA.1822221,Abuja,SSP1-1.9,2020-07,32.89
NGA.1822221,Abuja,SSP2-4.5,2020-07,32.93
NGA.1822221,Abuja,SSP3-7.0,2020-07,32.87
NGA.1822211,Adamawa,SSP1-1.9,2020-07,33.68
NGA.1822211,Adamawa,SSP2-4.5,2020-07,33.72
NGA.1822211,Adamawa,SSP3-7.0,2020-07,33.65
NGA.1822212,Akwa Ibom,SSP1-1.9,2020-07,30.39
NGA.1822212,Akwa Ibom,SSP2-4.5,2020-07,30.43
NGA.1822212,Akwa Ibom,SSP3-7.0,2020-07,30.41
NGA.1822213,Anambra,SSP1-1.9,2020-07,32.14
NGA.1822213,Anambra,SSP2-4.5,2020-07,32.18
NGA.1822213,Anambra,SSP3-7.0,2020-07,32.15
NGA.18265699,Bauchi,SSP1-1.9,2020-07,33.05
NGA.18265699,Bauchi,SSP2-4.5,2020-07,33.08
NGA.18265699,Bauchi,SSP3-7.0,2020-07,33.03
NGA.18265700,Bayelsa,SSP1-1.9,2020-07,29.79
NGA.18265700,Bayelsa,SSP2-4.5,2020-07,29.85
NGA.18265700,Bayelsa,SSP3-7.0,2020-07,29.83
NGA.1822215,Benue,SSP1-1.9,2020-07,33.11
NGA.1822215,Benue,SSP2-4.5,2020-07,33.16
NGA.1822215,Benue,SSP3-7.0,2020-07,33.11
NGA.1822216,Borno,SSP1-1.9,2020-07,35.42
NGA.1822216,Borno,SSP2-4.5,2020-07,35.47
NGA.1822216,Borno,SSP3-7.0,2020-07,35.4
NGA.1822217,Cross River,SSP1-1.9,2020-07,31.34
NGA.1822217,Cross River,SSP2-4.5,2020-07,31.39
NGA.1822217,Cross River,SSP3-7.0,2020-07,31.36
NGA.1822218,Delta,SSP1-1.9,2020-07,30.85
NGA.1822218,Delta,SSP2-4.5,2020-07,30.91
NGA.1822218,Delta,SSP3-7.0,2020-07,30.87
NGA.18265701,Ebonyi,SSP1-1.9,2020-07,32.83
NGA.18265701,Ebonyi,SSP2-4.5,2020-07,32.87
NGA.18265701,Ebonyi,SSP3-7.0,2020-07,32.84
NGA.1822219,Edo,SSP1-1.9,2020-07,31.45
NGA.1822219,Edo,SSP2-4.5,2020-07,31.5
NGA.1822219,Edo,SSP3-7.0,2020-07,31.46
NGA.18265702,Ekiti,SSP1-1.9,2020-07,30.95
NGA.18265702,Ekiti,SSP2-4.5,2020-07,30.99
NGA.18265702,Ekiti,SSP3-7.0,2020-07,30.95
NGA.18265703,Enugu,SSP1-1.9,2020-07,32.11
NGA.18265703,Enugu,SSP2-4.5,2020-07,32.15
NGA.18265703,Enugu,SSP3-7.0,2020-07,32.11
NGA.18265704,Gombe,SSP1-1.9,2020-07,34.07
NGA.18265704,Gombe,SSP2-4.5,2020-07,34.1
NGA.18265704,Gombe,SSP3-7.0,2020-07,34.05
NGA.1822222,Imo,SSP1-1.9,2020-07,31.65
NGA.1822222,Imo,SSP2-4.5,2020-07,31.7
